City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Port+Blair,11.6667,92.75,79.68,80,1,8.14,IN,clear sky
1,Grand+Gaube,-20.0064,57.6608,79.0,80,0,3.0,MU,clear sky
2,Chulym,55.0997,80.9572,-17.61,85,5,8.9,RU,clear sky
3,Taltal,-25.4,-70.4833,71.69,55,9,4.92,CL,clear sky
4,Ushuaia,-54.8,-68.3,51.8,62,20,26.46,AR,few clouds
5,Cape+Town,-33.9258,18.4232,77.0,60,20,12.66,ZA,few clouds
6,Margate,51.3813,1.3862,39.99,90,100,4.0,GB,overcast clouds
7,Georgetown,5.4112,100.3354,80.6,83,20,3.44,MY,few clouds
8,Busselton,-33.65,115.3333,68.0,64,0,1.99,AU,clear sky
9,Karasuk,53.7377,78.0403,7.74,96,81,8.39,RU,broken clouds
10,Dusetos,55.75,25.85,25.21,96,99,10.31,LT,overcast clouds
11,Bredasdorp,-34.5322,20.0403,71.01,77,0,5.01,ZA,clear sky
12,Dubti,11.7361,41.0853,77.27,20,0,3.51,ET,clear sky
13,Cabedelo,-6.9811,-34.8339,87.8,58,40,14.97,BR,scattered clouds
14,Mahibadhoo,3.7833,72.9667,81.25,74,0,11.68,MV,clear sky
15,Tasiilaq,65.6145,-37.6368,15.8,41,75,17.27,GL,broken clouds
16,Longyearbyen,78.2186,15.6401,-2.2,50,20,21.85,SJ,few clouds
17,Porto+Novo,6.4965,2.6036,86.0,79,40,11.5,BJ,scattered clouds
18,Elliot+Lake,46.3834,-82.6331,17.6,62,1,5.75,CA,clear sky
19,Santa+Maria,-29.6842,-53.8069,86.0,66,75,5.75,BR,broken clouds
20,Port+Alfred,-33.5906,26.891,70.0,86,0,1.01,ZA,clear sky
21,Calvinia,-31.4707,19.776,73.31,37,0,10.65,ZA,clear sky
22,Mar+Del+Plata,-38.0023,-57.5575,64.4,55,90,23.02,AR,overcast clouds
23,Iracoubo,5.4802,-53.2011,79.47,87,85,14.5,GF,light rain
24,Mahebourg,-20.4081,57.7,78.8,89,75,5.75,MU,broken clouds
25,Ushtobe,45.2514,77.9838,16.83,86,26,4.65,KZ,scattered clouds
26,Saint-Philippe,-21.3585,55.7679,80.6,65,0,9.22,RE,light rain
27,Hithadhoo,-0.6,73.0833,82.89,75,78,13.2,MV,broken clouds
28,Leninsk,48.7119,45.1994,33.8,93,20,11.18,RU,few clouds
29,Moose+Factory,51.2585,-80.6094,-0.4,78,90,4.61,CA,light snow
30,Krishnagiri,12.5333,78.2333,69.39,67,0,3.74,IN,clear sky
31,Jamestown,42.097,-79.2353,26.01,79,90,4.9,US,light snow
32,Narsaq,60.9167,-46.05,41.0,30,75,35.68,GL,broken clouds
33,Ribeira+Grande,38.5167,-28.7,64.4,88,75,17.27,PT,broken clouds
34,Bissendorf,52.2333,8.1667,32.0,80,20,8.05,DE,few clouds
35,Berlevag,70.8578,29.0864,25.77,96,100,23.53,NO,light snow
36,Victoria,22.2855,114.1577,62.01,78,1,16.87,HK,clear sky
37,Cidreira,-30.1811,-50.2056,85.26,67,35,8.57,BR,scattered clouds
38,Puerto+Del+Rosario,28.5004,-13.8627,68.0,73,0,19.57,ES,clear sky
39,East+London,-33.0153,27.9116,73.4,78,40,8.05,ZA,scattered clouds
40,Iquique,-20.2208,-70.1431,73.4,56,0,16.11,CL,clear sky
41,La+Rosa,15.35,-87.0667,75.2,78,40,2.3,HN,scattered clouds
42,Hermanus,-34.4187,19.2345,71.01,77,0,5.01,ZA,clear sky
43,Plettenberg+Bay,-34.0527,23.3716,70.05,68,3,4.41,ZA,clear sky
44,Halifax,44.6453,-63.5724,24.01,68,100,11.5,CA,overcast clouds
45,Bilma,18.6853,12.9164,68.74,20,49,6.29,NE,scattered clouds
46,Bubaque,11.2833,-15.8333,80.73,56,0,12.53,GW,clear sky
47,Carutapera,-1.195,-46.02,82.22,80,87,10.42,BR,overcast clouds
48,Hobyo,5.3505,48.5268,76.71,74,7,15.59,SO,clear sky
49,La+Ciotat,43.1748,5.6045,48.99,89,100,5.99,FR,light rain
50,Torbay,47.6666,-52.7314,30.99,86,90,18.41,CA,overcast clouds
51,Bandarbeyla,9.4942,50.8122,75.02,71,0,14.38,SO,clear sky
52,Ponta+Do+Sol,32.6667,-17.1,64.0,73,39,5.01,PT,scattered clouds
53,Nosy+Varika,-20.5833,48.5333,80.17,80,5,8.37,MG,clear sky
54,Korla,41.7597,86.1469,25.0,79,0,5.93,CN,clear sky
55,Sainte-Suzanne,-20.9061,55.6089,80.6,69,28,12.66,RE,light rain
56,Pisco,-13.7,-76.2167,77.0,78,0,11.5,PE,clear sky
57,Bosilegrad,42.5011,22.4724,32.47,94,44,3.44,RS,scattered clouds
58,Port+Hawkesbury,45.6169,-61.3485,30.0,68,90,9.22,CA,overcast clouds
59,Iqaluit,63.7506,-68.5145,-9.0,70,20,16.11,CA,snow
60,Ostrovnoy,68.0531,39.5131,11.64,95,100,11.43,RU,light snow
61,Port+Elizabeth,-33.918,25.5701,69.8,78,0,10.36,ZA,clear sky
62,Nanortalik,60.1432,-45.2371,36.12,77,100,16.73,GL,overcast clouds
63,Caravelas,-17.7125,-39.2481,85.01,53,6,9.28,BR,clear sky
64,Tigzirt,36.8886,4.1198,60.76,75,82,14.81,DZ,broken clouds
65,Visnes,59.3556,5.2242,26.6,93,20,1.14,NO,few clouds
66,Sao+Joao+Da+Barra,-21.6403,-41.0511,87.8,42,0,23.02,BR,clear sky
67,Samsun,41.25,36.3333,53.6,26,75,4.61,TR,broken clouds
68,Santa+Cruz+Del+Sur,20.7147,-77.9956,79.12,49,0,17.69,CU,clear sky
69,Vardo,70.3705,31.1107,30.2,86,75,24.16,NO,light snow
70,Tucurui,-3.7661,-49.6725,88.9,61,39,5.3,BR,scattered clouds
71,Tsiroanomandidy,-18.7667,46.0333,71.35,83,100,2.06,MG,moderate rain
72,Pehowa,29.9833,76.5833,49.86,47,2,4.63,IN,clear sky
73,Arrecife,28.963,-13.5477,68.0,64,20,17.27,ES,few clouds
74,Boende,-0.2167,20.8667,70.75,96,100,2.26,CD,light rain
75,Riyadh,24.6877,46.7219,62.6,29,0,8.05,SA,clear sky
76,Manicore,-5.8092,-61.3003,86.0,74,75,4.61,BR,broken clouds
77,Castro,-24.7911,-50.0119,72.63,86,90,5.97,BR,overcast clouds
78,Isetskoye,56.4858,65.3226,15.85,96,99,7.18,RU,overcast clouds
79,Bud,39.447,-86.1758,34.0,69,100,12.26,US,overcast clouds
80,Brae,60.3964,-1.353,33.8,86,40,9.22,GB,scattered clouds
81,Qaanaaq,77.484,-69.3632,-5.24,72,99,1.83,GL,overcast clouds
82,Esmeraldas,-19.7625,-44.3139,87.8,45,40,5.75,BR,scattered clouds
83,Kontagora,10.3999,5.4695,94.05,10,0,1.1,NG,clear sky
84,Hambantota,6.1241,81.1185,78.17,83,90,11.77,LK,overcast clouds
85,Ocean+City,39.2776,-74.5746,30.99,37,1,14.97,US,clear sky
86,Quatre+Cocos,-20.2078,57.7625,79.0,89,75,5.75,MU,broken clouds
87,Bathsheba,13.2167,-59.5167,84.2,61,40,14.97,BB,scattered clouds
88,Muli,2.9167,73.5667,81.66,78,15,14.83,MV,few clouds
89,Klaksvik,62.2266,-6.589,35.6,93,75,2.3,FO,broken clouds
90,Jijiga,9.35,42.8,64.67,40,0,11.86,ET,clear sky
91,Akureyri,65.6835,-18.0878,19.4,63,75,6.91,IS,broken clouds
92,Sao+Gabriel+Da+Cachoeira,-0.1303,-67.0892,93.94,41,1,3.89,BR,clear sky
93,Saint-Joseph,-21.3667,55.6167,80.6,65,0,9.22,RE,light rain
94,Olafsvik,64.8945,-23.7142,23.52,91,36,20.65,IS,scattered clouds
95,Kisangani,0.5167,25.2,76.46,74,100,2.08,CD,overcast clouds
96,Sao+Miguel+Do+Araguaia,-13.275,-50.1628,88.16,57,63,3.65,BR,broken clouds
97,Koygorodok,60.445,50.9968,26.01,97,100,11.41,RU,light snow
98,Waddan,29.1614,16.139,66.18,26,0,5.64,LY,clear sky
99,Derzhavinsk,51.1,66.3167,19.09,94,100,9.75,KZ,overcast clouds
100,Vila+Velha,-20.3297,-40.2925,87.8,55,20,17.27,BR,few clouds
101,Punta+Arenas,-53.15,-70.9167,57.2,51,40,27.63,CL,scattered clouds
102,Lebu,-37.6167,-73.65,62.31,70,4,9.33,CL,clear sky
103,Camacha,33.0833,-16.3333,62.6,100,75,10.36,PT,broken clouds
104,Saint+George,37.1041,-113.5841,39.99,93,1,1.95,US,clear sky
105,Basoko,1.2391,23.616,81.43,60,92,3.8,CD,overcast clouds
106,Naryan-Mar,67.6713,53.087,2.62,93,100,14.43,RU,light snow
107,Arnstadt,50.8333,10.95,28.99,86,90,6.91,DE,overcast clouds
108,Bambous+Virieux,-20.3428,57.7575,79.0,89,75,5.75,MU,broken clouds
109,Portree,57.4129,-6.1942,33.01,79,24,1.99,GB,few clouds
110,Marsa+Matruh,31.3525,27.2453,71.6,37,0,17.27,EG,clear sky
111,Sohag,26.557,31.6948,64.4,34,0,5.75,EG,clear sky
112,Mantua,45.1667,10.7833,43.0,75,20,4.61,IT,few clouds
113,Grindavik,63.8424,-22.4338,26.6,74,40,20.71,IS,scattered clouds
114,Labytnangi,66.6572,66.4183,-24.95,85,100,6.87,RU,overcast clouds
115,Khowst,33.3833,69.8833,44.28,52,0,0.36,AF,clear sky
116,Sonqor,34.7837,47.6004,35.6,69,20,11.5,IR,few clouds
117,Kharan,28.5833,65.4167,60.4,22,0,2.75,PK,clear sky
118,Usinsk,65.9939,57.5281,-0.89,93,100,9.86,RU,light snow
119,Sakakah,29.9697,40.2064,51.8,35,0,5.19,SA,clear sky
120,Manati,18.4275,-66.4921,79.0,80,29,4.0,PR,scattered clouds
121,Nurota,40.5614,65.6886,51.8,40,100,6.91,UZ,overcast clouds
122,Kyzyl-Suu,42.3414,78.0056,22.57,69,0,11.41,KG,clear sky
123,Uvat,59.1433,68.8953,6.58,94,100,11.27,RU,overcast clouds
124,Ciudad+Real,39.0,-4.0,53.01,75,100,11.01,ES,overcast clouds
125,Krasnoselkup,65.7,82.4667,-33.3,78,36,8.03,RU,scattered clouds
126,Codrington,-38.2667,141.9667,55.89,81,20,4.72,AU,few clouds
127,Tandil,-37.3217,-59.1332,68.0,52,100,8.01,AR,light rain
128,Kayes,14.0,-11.0,99.3,7,0,5.46,ML,clear sky
129,Saldanha,-33.0117,17.9442,67.3,81,0,13.49,ZA,clear sky
130,Luziania,-16.2525,-47.9503,86.0,42,75,11.5,BR,broken clouds
131,Santa+Isabel,-23.3156,-46.2214,93.2,35,0,10.36,BR,clear sky
132,Kassala,15.451,36.4,76.1,49,0,14.74,SD,clear sky
133,Savalou,7.9281,1.9756,98.96,18,0,3.24,BJ,clear sky
134,Cap+Malheureux,-19.9842,57.6142,79.0,80,0,3.0,MU,clear sky
135,Bonavista,48.6499,-53.1147,30.0,93,97,4.61,CA,overcast clouds
136,Royan,45.6285,-1.0281,51.8,82,90,20.71,FR,light rain
137,Lanzhot,48.7244,16.9669,37.0,74,100,7.65,CZ,light snow
138,Luderitz,-26.6481,15.1594,73.74,47,0,28.3,NA,clear sky
139,Belen,36.4891,36.2233,46.4,100,75,23.02,TR,moderate rain
140,Matara,5.9485,80.5353,77.56,85,100,1.16,LK,overcast clouds
141,Bam,29.106,58.357,62.33,31,10,7.49,IR,clear sky
142,Barranca,-10.75,-77.7667,75.11,65,100,9.71,PE,overcast clouds
143,Humaita,-7.5061,-63.0208,93.04,51,78,3.58,BR,broken clouds
144,Harper,4.375,-7.7169,81.84,78,54,9.35,LR,light rain
145,Taloqan,36.7361,69.5345,48.52,46,95,6.46,AF,overcast clouds
146,Aklera,24.4167,76.5667,58.98,32,0,3.96,IN,clear sky
147,Dikson,73.5069,80.5464,-35.57,82,29,9.35,RU,scattered clouds
148,Muscat,23.6139,58.5922,66.2,72,0,1.14,OM,clear sky
149,Sao+Filipe,14.8961,-24.4956,76.91,55,100,10.76,CV,overcast clouds
150,Morant+Bay,17.8815,-76.4093,86.0,54,20,8.05,JM,few clouds
151,Mimongo,-1.6195,11.6068,71.42,92,99,2.51,GA,overcast clouds
152,Najran,17.4924,44.1277,73.4,25,0,5.68,SA,clear sky
153,Presidencia+Roque+Saenz+Pena,-26.7852,-60.4388,91.0,57,37,4.0,AR,scattered clouds
154,Goderich,43.7501,-81.7165,26.6,68,100,5.75,CA,overcast clouds
155,Clyde+River,70.4692,-68.5914,-18.4,83,1,4.61,CA,clear sky
156,Gerash,27.6652,54.1371,62.6,42,0,2.75,IR,clear sky
157,Baymak,52.5933,58.3225,20.17,98,98,2.84,RU,overcast clouds
158,Baijiantan,45.6333,85.1833,7.07,91,0,1.48,CN,clear sky
159,Neuquen,-38.9516,-68.0591,73.4,53,75,3.44,AR,broken clouds
160,Middle+Island,40.8843,-72.9373,25.0,39,1,17.27,US,clear sky
161,Paamiut,61.994,-49.6678,31.15,87,92,8.19,GL,overcast clouds
162,Praia+Da+Vitoria,38.7333,-27.0667,66.2,82,75,26.89,PT,broken clouds
163,Agaro,7.85,36.65,69.21,44,93,4.45,ET,overcast clouds
164,Husavik,66.0449,-17.3389,19.4,63,75,6.91,IS,broken clouds
165,Balad,34.0164,44.1453,55.08,44,64,1.74,IQ,broken clouds
166,Nouadhibou,20.931,-17.0347,87.8,19,68,12.66,MR,broken clouds
167,Monrovia,6.3005,-10.7969,84.2,74,75,4.61,LR,broken clouds
168,Wilmington+Island,32.0036,-80.9737,59.0,50,90,13.8,US,overcast clouds
169,Japura,-0.3167,102.35,72.99,96,95,1.63,ID,light rain
170,Mariinskiy+Posad,56.115,47.718,24.8,80,40,11.18,RU,scattered clouds
171,Bushehr,28.9684,50.8385,64.4,63,0,13.8,IR,clear sky
172,Geraldton,-28.7667,114.6,86.0,25,0,11.5,AU,clear sky
173,Vestmannaeyjar,63.4427,-20.2734,32.0,80,75,12.66,IS,broken clouds
174,Parainen,60.3067,22.301,24.01,86,40,6.91,FI,light snow
175,Mendi,-6.1761,143.6513,56.32,98,100,1.83,PG,light rain
176,Nepa+Nagar,21.4667,76.4,64.18,26,0,6.26,IN,clear sky
177,Igarka,67.4667,86.5833,-34.51,76,0,4.85,RU,clear sky
178,Antofagasta,-23.65,-70.4,73.99,60,20,12.66,CL,few clouds
179,Las+Matas+De+Farfan,18.8731,-71.5166,77.5,55,86,2.06,DO,overcast clouds
180,Sabha,27.0377,14.4283,59.65,34,0,4.23,LY,clear sky
181,Arraial+Do+Cabo,-22.9661,-42.0278,93.2,48,0,19.57,BR,clear sky
182,Galle,6.0367,80.217,77.56,86,100,2.44,LK,overcast clouds
183,Laguna,38.421,-121.4238,48.0,87,90,3.44,US,overcast clouds
184,Inhambane,-23.865,35.3833,86.0,74,20,2.3,MZ,few clouds
185,San+Vicente,-26.6167,-54.1333,68.9,100,99,5.48,AR,overcast clouds
186,Tshikapa,-6.4167,20.8,78.69,78,93,2.28,CD,light rain
187,Vila+Franca+Do+Campo,37.7167,-25.4333,64.99,94,40,16.11,PT,scattered clouds
188,Peniche,39.3558,-9.3811,57.99,73,69,14.0,PT,broken clouds
189,Mountrath,52.9989,-7.4728,39.99,87,100,11.99,IE,overcast clouds
190,Salym,60.0625,71.4789,-7.35,90,100,11.12,RU,overcast clouds
191,Dailly,46.2,7.0333,39.99,96,100,4.61,CH,light rain
192,Mogadishu,2.0371,45.3438,76.89,76,22,22.1,SO,few clouds
193,Upernavik,72.7868,-56.1549,-9.78,86,2,7.78,GL,clear sky
194,Ilulissat,69.2167,-51.1,3.2,60,40,8.05,GL,scattered clouds
195,Saint-Pierre,-21.3393,55.4781,80.6,65,0,9.22,RE,light rain
196,Bozova,37.3625,38.5267,41.0,81,75,16.11,TR,broken clouds
197,Miandrivazo,-19.5167,45.4667,81.9,75,88,3.29,MG,moderate rain
198,Asgabat,37.95,58.3833,55.4,47,75,13.8,TM,broken clouds
199,Ilhabela,-23.7781,-45.3581,85.48,62,50,4.68,BR,scattered clouds
200,Farafangana,-22.8167,47.8333,80.69,80,2,12.35,MG,clear sky
201,Birao,10.2849,22.7882,81.9,15,0,7.25,CF,clear sky
202,Luanda,-8.8368,13.2343,86.0,62,20,9.22,AO,few clouds
203,San+Cristobal,7.7669,-72.225,82.4,61,40,11.5,VE,scattered clouds
204,Rovaniemi,66.5,25.7167,12.2,85,100,9.22,FI,light snow
205,Sabzevar,36.2126,57.6819,49.03,50,81,0.6,IR,broken clouds
206,Caconda,-13.7333,15.0667,68.43,74,97,5.82,AO,overcast clouds
207,Villa+San+Giovanni,38.2276,15.6386,60.01,82,20,3.44,IT,few clouds
208,Bethanien,-26.502,17.1583,93.33,9,0,8.88,NA,clear sky
209,Gonbad-E+Qabus,37.25,55.1672,46.4,87,90,5.64,IR,overcast clouds
210,Qaqortoq,60.7167,-46.0333,41.0,30,75,35.68,GL,broken clouds
211,Kasongo,-4.45,26.6667,73.76,91,66,3.4,CD,light rain
212,Oceanside,33.1959,-117.3795,54.0,71,1,3.44,US,clear sky
213,Kalmunai,7.4167,81.8167,77.7,84,77,6.44,LK,broken clouds
214,Saint-Augustin,51.226,-58.6502,29.59,93,22,15.12,CA,few clouds
215,Gat,31.61,34.7642,55.0,50,0,7.4,IL,clear sky
216,Muisne,0.6,-80.0333,80.6,94,90,3.44,EC,light rain
217,Manali,13.1667,80.2667,77.0,78,20,3.44,IN,haze
218,Qostanay,53.1667,63.5833,8.6,92,0,4.47,KZ,clear sky
219,Kruisfontein,-34.0033,24.7314,71.01,69,0,7.0,ZA,clear sky
220,Touros,-5.1989,-35.4608,87.8,55,40,13.8,BR,scattered clouds
221,Rocha,-34.4833,-54.3333,84.7,38,80,15.59,UY,light rain
222,Taoudenni,22.6783,-3.9836,85.64,13,0,9.46,ML,clear sky
223,Tabuk,17.4189,121.4443,63.09,87,80,3.47,PH,broken clouds
224,Jaciara,-15.9653,-54.9683,90.07,48,65,5.84,BR,broken clouds
225,Gazanjyk,39.2446,55.5154,50.47,63,100,1.9,TM,overcast clouds
226,Tazovskiy,67.4667,78.7,-33.41,82,82,8.46,RU,broken clouds
227,Comodoro+Rivadavia,-45.8667,-67.5,64.4,45,20,6.91,AR,few clouds
228,Sliven,42.6858,26.3292,41.0,100,40,4.61,BG,scattered clouds
229,Kavaratti,10.5669,72.642,81.41,69,65,7.29,IN,broken clouds
230,Tutoia,-2.7619,-42.2744,89.6,62,20,21.85,BR,few clouds
231,Arica,-18.475,-70.3042,75.2,57,0,13.8,CL,clear sky
232,Torbat-E+Jam,35.244,60.6225,55.35,38,85,8.7,IR,overcast clouds
233,Creemore,44.327,-80.1075,19.4,73,29,3.44,CA,scattered clouds
234,Rochegda,62.8,43.25,19.85,97,100,6.6,RU,overcast clouds
235,Ashoknagar,24.5667,77.7167,53.92,37,0,6.04,IN,clear sky
236,Ventspils,57.3894,21.5606,32.0,74,75,17.27,LV,broken clouds
237,Abu+Kamal,34.4506,40.9171,53.38,45,48,8.12,SY,scattered clouds
